,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000001695,YKL212W,SAC1,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]","Phosphatidylinositol phosphate (PtdInsP) phosphatase; involved in hydrolysis of PtdIns[4]P in the early and medial Golgi; regulated by interaction with Vps74p; ER localized transmembrane protein which cycles through the Golgi; involved in protein trafficking and processing, secretion, and cell wall maintenance; regulates sphingolipid biosynthesis through the modulation of PtdIns(4)P metabolism"
S000002841,YDR433W,,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000005681,YOR155C,ISN1,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]",Inosine 5'-monophosphate (IMP)-specific 5'-nucleotidase; catalyzes the breakdown of IMP to inosine; responsible for production of nicotinamide riboside and nicotinic acid riboside; expression positively regulated by nicotinic acid and glucose availability; does not show similarity to known 5'-nucleotidases from other organisms
S000002838,YDR430C,CYM1,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]",Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology
S000003287,YGR055W,MUP1,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]",High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; also involved in cysteine uptake
S000002597,YDR189W,SLY1,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]",Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex
S000003319,YGR087C,PDC6,4.0,48.0,12.0,"[12.0, 12.0, 12.0, 12.0]","Minor isoform of pyruvate decarboxylase; decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation"
S000002773,YDR365C,ESF1,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels
S000001068,YHR026W,VMA16,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Subunit c'' of the vacuolar ATPase; v-ATPase functions in acidification of the vacuole; one of three proteolipid subunits of the V0 domain
S000003747,YJL211C,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YJL210W/PEX2"
S000003323,YGR091W,PRP31,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Splicing factor; component of the U4/U6-U5 snRNP complex
S000003893,YJR132W,NMD5,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog
S000007238,YER091C-A,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000002961,YER119C-A,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; deletion mutation blocks replication of Brome mosaic virus in S. cerevisiae, but this is likely due to effects on the overlapping gene SCS2"
S000004647,YMR044W,IOC4,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Member of a complex (Isw1b) with Isw1p and Ioc2p; interacts directly with H3K36me3 nucleosomes through its PWWP domain to recruit the Isw1b complex to open reading frames in a Set2p-dependent manner; Isw1b exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing
S000002501,YDR094W,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF DNF2/YDR093W"
S000000311,YBR107C,IML3,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1
S000000893,YER091C,MET6,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs"
S000001030,YHL038C,CBP2,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Required for splicing of the group I intron bI5 of the COB pre-mRNA; nuclear-encoded mitochondrial protein that binds to the RNA to promote splicing; also involved in but not essential for splicing of the COB bI2 intron and the intron in the 21S rRNA gene
S000002561,YDR154C,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant exhibits synthetic phenotype with alpha-synuclein"
S000002217,YDL059C,RAD59,3.0,36.0,12.0,"[12.0, 12.0, 12.0]",Protein involved DNA double-strand break repair; repairs breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; forms nuclear foci upon DNA replication stress; required for loading of Rad52p to DSBs; paralog of Rad52p
S000004420,YLR428C,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CRN1"
S000001862,YFL032W,,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HAC1/YFL031W; YFL032W is not an essential gene"
S000003093,YGL125W,MET13,3.0,36.0,12.0,"[12.0, 12.0, 12.0]","Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway"
